ID_PROYECTO,RUT_PROYECTO,RUT_PROYECTO_PROMESA,NOM_PROYECTO,NOM_LEGAL,NOM_LEGAL_PROMESA,NOMBRE_BANCO,ACTIVO,HORARIO_ATENCION_PROYECTO,CTACTE,CALLE,CIUDAD,CODIGO_POSTAL,REGION,COMUNA,NUM_EXTERIOR,NUM_INTERIOR,PAIS,REFERENCIA,HORARIO_ATENCION,FECHA_ESCRITURA,FECHA_INICIO,FECHA_TERMINO,PORCENTAJE_AVANCE,PORCENTAJE_MULTA,EVALUACION_PLANA,EMPRESA_ASEGURADORA,MONTO_POLIZA_SEGURO,PRECIO_VENTA_OBJETIVO_PONDERADO,PRECIO_VENTA_OBJETIVO_UTIL,SUBSIDIO,TASA,TASA_HIP,TELEFONO2,TELEFONO1,TELEFONO_AMC,EMAIL,EMAIL_2,SITIO_WEB,VERSION,DESCRIPCION,URL_LOGO,URL_IMAGEN_1,URL_IMAGEN_2,URL_IMAGEN_3,ELIMINADO,FECHA_REGISTRO_PROYECTO,DIVIDENDO_ANIOS1,DIVIDENDO_ANIOS2,DIVIDENDO_ANIOS3
1,76326025-9,76326025-9,MARCHA BLANCA,INMOBILIARIA MARCHA BLANCA,INMOBILIARIA MARCHA BLANCA,BANCO DEL DESARROLLO,1,1,3424234,Apoquindo,Santiago,0,,Las Condes,0,,Chile,,,2026-01-01 12:00:00,2020-01-01 12:00:00,2026-01-01 12:00:00,0.3500000000,,,,,100.00000000,101.00000000,,0.0300000000,0.0300000000,,,+569 7519 6904,,,,48,,ifai/proyectos/1/archivos/MARCHABLANCA_LOGO.png,ifai/proyectos/1/archivos/MARCHABLANCA_IMAGEN-1.jpeg,,,0,2020-01-23 00:44:03,25,20,30
2,76.761.005-K,76.761.005-K,ORIGEN,INMOBILIARIA SANTA CRISTINA SPA,INMOBILIARIA SANTA CRISTINA SPA,BANCO SECURITY,1,1,916840023,Santa Cristina 3138,Santiago,0,,Macul,0,,Chile,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:30 a 19:30 horas.</span><br></span></font></div>",2021-03-01 12:00:00,2018-04-30 12:00:00,2021-05-01 12:00:00,0.9550000000,,,,,1.00000000,1.00000000,,0.0450000000,0.0450000000,,+56939121422,+56232893288,origen@ifai.cl,,,53,,ifai/proyectos/2/archivos/ORIGEN_LOGO.jpg,,,,0,2018-04-20 00:00:00,25,20,30
3,76.618.549-5,76.618.549-5,COLIFE,INMOBILIARIA GENERAL JOFRE SPA,INMOBILIARIA GENERAL JOFRE SPA,BANCO SECURITY,1,1,916215565,General Jofre 220,Santiago,0,,Santiago,0,,Chile,,"<div><div><b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:30 a 19:30 horas.</span></span></font></div></div></div>",2021-03-01 12:00:00,2017-12-31 12:00:00,2021-12-30 12:00:00,0.9560000000,,,,,,,,0.0450000000,0.0450000000,,+569 75196796,,colife@ifai.cl,,,45,,ifai/proyectos/3/archivos/COLIFE_LOGO.jpg,,,,0,2017-12-08 00:00:00,25,20,30
4,76.763.933-3,76.763.933-3,ICONO,INMOBILIARIA MADRESELVA SPA,INMOBILIARIA MADRESELVA SPA,BANCO SECURITY,1,1,917140191,Las Madreselvas 4519,Santiago,0,,Macul,0,,Chile,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span><br></span></font></div>",2021-07-01 12:00:00,2017-04-30 12:00:00,2021-12-31 12:00:00,0.7900000000,,,,,,,,0.0450000000,0.0450000000,,+56944673565,,icono@ifai.cl,,,40,,ifai/proyectos/4/archivos/ICONO_LOGO.jpg,,,,0,2018-09-02 00:00:00,25,20,30
5,76.896.595-1,76.896.595-1,OPEN ALEMANIA,INMOBILIARIA ALTO ALEMANIA DOS SPA,INMOBILIARIA ALTO ALEMANIA DOS SPA,BANCO BCI,1,1,66119081,Avenida Alemania 1655,Temuco,0,,Temuco,0,,Chile,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span><br></span></font></div>",2023-04-30 12:00:00,2018-01-31 12:00:00,2023-04-30 12:00:00,0.9500000000,,,,,,,,0.0450000000,0.0450000000,,+56 9 7519 6812,,openalemania@ifai.cl,,,62,,ifai/proyectos/5/archivos/OPENALEMANIA_LOGO.jpg,,,,0,2019-09-02 00:00:00,25,20,30
6,76.991.583-4,76.991.583-4,MORE,FAI PINEDA SPA,FAI PINEDA SPA,BANCO BCI,1,1,10685740,juan de Pineda 8063,Santiago,0,,La Florida,0,,Chile,,"<b><font =""arial""="""" size=""2"">Horario de atención:</font></b><div><font =""arial""="""" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span><br></span></font></div><div><font =""arial""="""" size=""2""><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b><br></b></span></span></font></div><div><font =""arial""="""" size=""2""><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>Te esperamos.</b></span></span></font></div>",2023-05-30 12:00:00,2020-01-01 12:00:00,2023-05-30 12:00:00,0.8600000000,,,,,,,,0.0450000000,0.0450000000,,+56 9 7519 6897,,more@ifai.cl,,,64,,ifai/proyectos/6/archivos/MORE_LOGO.jpg,,,,0,2019-01-26 00:00:00,25,20,30
7,76.991.587-7,76.991.587-7,ARMONIA,FAI COLON SPA,FAI COLON SPA,,1,1,,Colón 6435,Santiago,0,,La Cisterna,0,,Chile,,"<b><font =""arial""="""" size=""2"">Horario de atención:</font></b><div><font =""arial""="""" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);""><b>Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></b></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);""><b>de 10:00 a 19:00 horas.</b></span></span></font></div>",2023-05-30 12:00:00,2020-01-01 12:00:00,2023-05-30 12:00:00,0.4500000000,,,,,,,,0.0450000000,0.0450000000,+569 7519 6904,+562 3271 4483,+569 7519 6904,armonia@ifai.cl,,,49,,ifai/proyectos/7/archivos/ARMONIA_LOGO.jpg,,,,0,2020-01-30 15:23:35,25,20,30
8,1-9,1-9,EDIFICIO PABLO,EDIFICIO PABLO,Edificio Pablo,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",,,,,,,,,,,,,,,,,,,,5,,,,,,0,2019-01-26 00:00:00,25,20,30
9,1-9,,EDIFICIO ALFRED,EDIFICIO ALFRED,EDIFICIO ALFRED,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",2021-10-07 12:00:00,2020-10-07 12:00:00,2021-10-07 12:00:00,,,,,,,,,0.0450000000,0.0450000000,,,,,,,6,,,,,,0,2019-01-26 00:00:00,25,20,30
10,1-9,,EDIFICIO TEMPUS,EDIFICIO TEMPUS,EDIFICIO TEMPUS,,1,1,,,,0,,,0,,,,"<b><font face=""Arial"" size=""2"">Horario de atención:</font></b><div><font face=""Arial"" size=""2""><span style=""caret-color: rgb(80, 80, 80); text-size-adjust: auto; background-color: rgb(253, 253, 253);"">Lunes a<span class=""Apple-converted-space"">&nbsp;Domingo&nbsp;</span></span><span style=""text-size-adjust: auto; background-color: rgb(253, 253, 253);""><span style=""caret-color: rgb(80, 80, 80);"">de 10:00 a 19:00 horas.</span><br></span></font></div>",,,,,,,,,,,,,,,,,,,,3,,,,,,0,2019-01-26 00:00:00,25,20,30
