ID_PROYECTO,RUT_PROYECTO,NOM_PROYECTO,NOM_LEGAL,NOM_LEGAL_PROMESA,NOMBRE_BANCO,CALLE,CIUDAD,COMUNA,PAIS,HORARIO_ATENCION,FECHA_ESCRITURA,FECHA_INICIO,FECHA_TERMINO,PORCENTAJE_AVANCE,PORCENTAJE_MULTA,PRECIO_VENTA_OBJETIVO_PONDERADO,PRECIO_VENTA_OBJETIVO_UTIL,SUBSIDIO,TASA,TASA_HIP,FECHA_REGISTRO_PROYECTO,DIVIDENDO_ANIOS1,DIVIDENDO_ANIOS2,DIVIDENDO_ANIOS3
1,76326025-9,MARCHA BLANCA,INMOBILIARIA MARCHA BLANCA,INMOBILIARIA MARCHA BLANCA,BANCO DEL DESARROLLO,Apoquindo,Santiago,Las Condes,Chile,sin_dato,2026-01-01,2020-01-01,2026-01-01,0.35,sin_dato,100.0,101.0,sin_dato,0.03,0.03,2020-01-23,25,20,30
2,76761005-K,ORIGEN,INMOBILIARIA SANTA CRISTINA SPA,INMOBILIARIA SANTA CRISTINA SPA,BANCO SECURITY,Santa Cristina 3138,Santiago,Macul,Chile,lunes a domingo 10:30 a 18:30 horas,2021-03-01,2018-04-30,2021-05-01,0.955,sin_dato,1.0,1.0,sin_dato,0.045,0.045,2018-04-20,25,20,30
3,76618549-5,COLIFE,INMOBILIARIA GENERAL JOFRE SPA,INMOBILIARIA GENERAL JOFRE SPA,BANCO SECURITY,General Jofre 220,Santiago,Santiago,Chile,lunes a domingo 10:30 a 18:30 horas,2021-03-01,2017-12-31,2021-12-30,0.956,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2017-12-08,25,20,30
4,76763933-3,ICONO,INMOBILIARIA MADRESELVA SPA,INMOBILIARIA MADRESELVA SPA,BANCO SECURITY,Las Madreselvas 4519,Santiago,Macul,Chile,lunes a domingo 10:30 a 18:30 horas,2021-07-01,2017-04-30,2021-12-31,0.79,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2018-09-02,25,20,30
5,76896595-1,OPEN ALEMANIA,INMOBILIARIA ALTO ALEMANIA DOS SPA,INMOBILIARIA ALTO ALEMANIA DOS SPA,BANCO BCI,Avenida Alemania 1655,Temuco,Temuco,Chile,lunes a domingo 10:30 a 18:30 horas,2023-04-30,2018-01-31,2023-04-30,0.95,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2019-09-02,25,20,30
6,76991583-4,MORE,FAI PINEDA SPA,FAI PINEDA SPA,BANCO BCI,juan de Pineda 8063,Santiago,La Florida,Chile,lunes a domingo 10:30 a 18:30 horas,2023-05-30,2020-01-01,2023-05-30,0.86,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2019-01-26,25,20,30
7,76991587-7,ARMONIA,FAI COLON SPA,FAI COLON SPA,sin_dato,Colón 6435,Santiago,La Cisterna,Chile,lunes a domingo 10:30 a 18:30 horas,2023-05-30,2020-01-01,2023-05-30,0.45,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2020-01-30,25,20,30
8,1-9,EDIFICIO PABLO,EDIFICIO PABLO,Edificio Pablo,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2019-01-26,25,20,30
9,1-9,EDIFICIO ALFRED,EDIFICIO ALFRED,EDIFICIO ALFRED,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,2021-10-07,2020-10-07,2021-10-07,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2019-01-26,25,20,30
10,1-9,EDIFICIO TEMPUS,EDIFICIO TEMPUS,EDIFICIO TEMPUS,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,2019-01-26,25,20,30
11,1-9,BUENA VISTA,BUENA VISTA,BUENA VISTA,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2019-01-26,25,20,30
12,76954681-2,Condominio Parque Lircay,Condominio Parque Lircay,WALK TALCA,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,2021-03-31,2019-07-08,2020-12-31,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2020-11-24,25,20,30
13,76954686-3,Condominio Parque Las Palmas I,Condominio Parque Las Palmas I,WALK SAN JAVIER ETAPA I,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,2021-01-31,2019-06-28,2020-11-30,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2020-11-24,25,20,30
14,77012087-K,WALK SAN JAVIER II,WALK SAN JAVIER II,WALK SAN JAVIER II,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,2022-01-31,2020-05-16,2021-11-30,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2020-11-24,25,20,30
15,76954691-K,Condominio Nuevo Centro III,Condominio Nuevo Centro III,WALK LINARES I,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,lunes a domingo 10:30 a 18:30 horas,2021-02-28,2019-07-29,2020-12-30,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.045,0.045,2020-11-24,25,20,30
